ID,book_to_price,earnings_yield,free_cash_flow_yield,eqy_dvd_yld,stock_buyback,market_cap,12m_1w_px_momentum,tot_return_1y,volatility_1y,roe,oper_csh_flow_to_assets,net_debt_to_assets,net_debt_to_ebitda,delta_return_assets,delta_leverage,eqy_issuance,delta_asset_turnover,roa_variability,revenue_growth_variability
GOOD US Equity,15.360176503910159,-0.1611575408261287,-9.079337075346906,0.07300672430355427,0.0,757731532.92,32.831916285153696,0.4751092290815315,0.310471517797112,6.278971576637002,0.1745003636867445,1.7674456401552796,7.435054527521547,0.4243932010751188,22.448468218596474,2682256.0,0.008948856569858915,0.1850138500112537,8180585.567030936
WSR US Equity,1.1054730189741722,1.7143995381062354,9.55960024169142,0.050808314087759814,-2077000.0,370454821.38,49.57410562180578,0.5619857090392428,0.5289799464260605,1.781517567168586,0.12643426754077428,1.82784651489983,10.46180913873898,-1.6972852587878968,3.1468096831213885,899199.0,-0.0021496533980777527,0.7176794109311041,564913.6985309713
SOHO US Equity,5.347159128298857,-122.49054380664653,-30.418971841107336,,0.0,50230014.61,64.36170212765958,0.7606382978723378,1.074321800293968,-353.44880644740937,-0.25483274758516744,7.759212222354068,-36.53056749628429,-10.635278303620328,50.86347874015545,751472.0,-0.22996182367624501,4.35098883916571,46644308.420229726
ROIC US Equity,1.7049975154078238,1.5588914549653579,3.4096819689392786,0.02796106895414055,-11118000.0,2057229989.16,86.32385120350109,0.9078820712637503,0.5387326101350193,2.6914949382088618,0.08260795146066441,1.0603682427958137,7.058037509408283,-0.542425951066486,2.3857620296893924,1589139.0,-0.0013449596485290288,0.2302935240000247,4638765.97031744
ADC US Equity,1.6324405801178616,2.311741916690941,-27.32270943496999,0.03741989513545004,-1641000.0,4404237445.280001,10.458265139116191,0.17054078142380447,0.26185634257863527,4.337206780169433,0.05658824605175499,0.4791071663957116,6.260507939792065,-0.623033515042243,1.539395132555644,14447860.0,-0.004011286988041207,0.26965686278027845,26440532.24990671
RHP US Equity,19.317254470265613,-9.556001663662832,-8.234829359404312,0.0,0.0,3970780519.29,134.408956206783,1.375041159038529,0.64988278438615,-98.20618095831912,-0.5035257149626231,8.463935458529985,-35.3838895911798,-14.590678553216978,17.32332039298396,85000.0,-0.2668451684566086,6.118159272304304,452903457.67541057
PEB US Equity,1.0710894360429752,-15.506688859298713,-11.039792952059882,0.002010018388180838,-1255000.0,2960109862.7400002,86.54012079378775,0.9486912089020372,0.6188172291896339,-14.4843130845628,-0.06181245378065794,0.7386832687666611,-14.756514448673855,-7.943504364419832,2.2117293946829237,125059.0,-0.16881582444184806,3.3725112329066924,496451127.4246202
CLDT US Equity,0.9016939584538294,-12.6891237509608,-5.44615953608297,,0.0,632519113.18,97.8723404255319,1.12929623567921,0.650770414368443,-10.557804196707378,-0.02882621378852208,0.8821866967045026,46.37004706239562,-6.712735860944964,2.021767549192035,45028.0,-0.12495558178518777,2.8384105108292337,77553855.74473143
HPP US Equity,1.1996207647455097,0.30311953352769677,-16.759486052418122,0.03698979591836734,-80213000.0,4142107925.200001,26.676245210727974,0.36674555742728354,0.39798297560886436,0.011133830973910788,0.07356462491252948,0.8660756626995503,7.95008809036193,-0.5829493797208478,2.4111657083357034,-3289687.0,-0.011332080146957968,0.2532287811833194,7498047.2474271925
COR US Equity,79.7972034159575,1.6437663322936864,0.05879416612311168,0.04237264323245948,0.0,5828809601.32,-4.253393665158373,0.01635702533595751,0.24632067181668382,71.53235953333363,3.740169430723806,26.211705621016034,5.643065918920206,-0.1270775873408856,34.228354382598575,5067111.0,-0.005902735130357439,0.057556832968633946,15443441.87513618
SNR US Equity,2.7581358776525167,-2.993846153846154,7.0357330230611845,0.04460059171597633,0.0,566621841.24,133.57933579335796,1.6328302431146997,0.6108369406818785,-2.801666814433904,0.23850711006506,6.509861915287758,13.547850298453257,-0.279345339572771,8.715764229480161,59532.0,0.015098349195771854,0.11763015045837254,4051749.384620055
INN US Equity,1.3753336036408386,-15.351950970377938,-6.226040867962149,0.0040858018386108275,0.0,1038926685.06,73.59550561797754,0.8333333333333355,0.7052606421422434,-18.719570357711763,-0.03997099033042698,1.038401692674298,328.56060150376,-9.856490105996695,2.967609081630483,539272.0,-0.13780438019990068,4.184692558161055,133688250.28037682
AAT US Equity,1.6738165920899262,1.3071895424836601,2.983853893690889,0.03630292696788861,0.0,2128019744.3400002,33.06772908366533,0.44867171672469985,0.4634765822624313,2.1397415213902597,0.1013119452116872,1.0127747912488052,6.434991990591479,-1.143762009879323,2.2158376080072864,408064.0,-0.024138053985948857,0.5103751384284005,9891914.55123999
RLJ US Equity,1.0768484630264241,-17.219239842726083,-9.61776543707926,0.005111402359108781,-64245000.00000001,2516644865.0,48.06910569105692,0.5563370273057904,0.7048592054141762,-16.605533154645784,-0.06277768599100689,0.6737065879582702,-28.41265183139263,-9.210023289186118,2.402296417279411,-4849494.0,-0.1817515361159445,3.878269195000665,460298016.1167248
FREVS US Equity,3.634406151509942,-1.0159891891891892,1.2520596341584183,,0.0,126910888.0,13.125000000000009,0.16351057870893704,0.5234217285704958,81.20987020171088,0.11784337232284613,8.702005637818747,16.86997487437186,5.054791702070044,10.177496991576414,69907.0,-0.012634122743581888,2.326740067047948,3475294.04604706
IOR US Equity,0.5032137985371832,8.009516256938937,8.203379814780446,,0.0,52563700.54,15.859289732180326,0.17631694325506952,0.8260364142024329,4.117284975915739,0.041280539174389216,-0.00011488090679329095,,-0.10466689185153744,1.0001148809067932,200.0,0.0,0.0365922276087344,0.0
